,0
532,25.6
533,27.3
534,27.3
535,14.9
536,26.4
537,35.4
538,22.3
539,24.2
540,32.4
541,31.8
542,23.4
543,24.9
544,36.8
545,25.1
546,29.6
547,26.1
548,28.0
549,31.0
550,27.0
551,29.2
552,30.5
553,23.3
554,26.7
555,22.6
556,32.4
557,26.7
558,30.6
559,30.4
560,23.3
561,39.3
562,26.6
563,25.4
564,19.9
565,25.7
566,33.4
567,28.2
568,34.55
569,37.9
570,26.1
571,22.4
572,20.6
573,24.2
574,23.0
575,30.2
576,31.8
577,25.7
578,36.2
579,34.9
580,25.6
581,25.9
582,25.7
583,34.4
584,33.3
585,34.7
586,30.3
587,46.0
